,Shipments: Attributes Ocean type category,Shipments: Attributes Shipment ID,Shipments: Attributes Tradelane,Shipments: Attributes Gross Weight (kg),Shipments: Attributes Volume (cbm),Shipment Containers: Distance Final Port to Destination Distance in mile,Shipment Containers: Distance Origin to First Port Distance in km,Shipments: Attributes Freight Type,Shipments: Locations Arrival port Coordinates,Shipments: Locations Departure port Coordinates,Port pair,Total Actual Days
640,coloaded_lcl,3019942,TPWB,381.47,1.388,16.15,25.18,Door to Door,"22.3193039,114.1693611","33.7700504,-118.1937395",USLGB - HKHKG,59.0
641,coloaded_lcl,3000717,FEWB,258.89,1.49,28.29,7.69,Port to Door,"51.9244201,4.4777326","10.3011749,123.8965406",PHCEB - NLRTM,82.0
642,coloaded_lcl,3014018,TPEB,720.13,3.4,64.34,85.64,Port to Door,"40.735657,-74.1723667","20.8449115,106.6880841",VNHPH - USNYC,68.0
643,coloaded_lcl,3029328,FEWB,"1,418",8.163,109.64,13.70,Door to Door,"51.9244201,4.4777326","1.352083,103.819836",SGSIN - NLRTM,
644,coloaded_lcl,3048414,TAWB,212,1.075,96.87,346.04,Door to Door,"40.735657,-74.1723667","53.5510846,9.9936819",DEHAM - USNYC,35.0
645,coloaded_lcl,3008309,TPEB,828,8.7,731.46,10.16,Door to Door,"40.735657,-74.1723667","10.8230989,106.6296638",VNSGN - USNYC,87.0
646,coloaded_lcl,3011481,FEWB,62,0.734,109.64,13.70,Door to Door,"51.9244201,4.4777326","1.352083,103.819836",SGSIN - NLRTM,
647,coloaded_lcl,2999897,TPEB,612,8.53,96.24,68.82,Port to Door,"40.735657,-74.1723667","10.8230989,106.6296638",VNSGN - USNYC,51.0
648,coloaded_lcl,3022513,TPEB,487.43,3.43,15.94,84.96,Port to Door,"49.2827291,-123.1207375","20.8449115,106.6880841",VNHPH - CATOR,79.0
649,coloaded_lcl,3021967,TPEB,97.04,0.446,39.17,"1,146.98",Port to Door,"40.735657,-74.1723667","18.9499361,72.9511875",INNSA - USNYC,62.0
650,coloaded_lcl,3000875,FEWB,297.25,1.59,28.29,5.69,Port to Door,"51.9244201,4.4777326","22.356851,91.7831819",BDCGP - NLRTM,76.0
651,coloaded_lcl,2988667,TPEB,560.91,3.948,944.74,48.22,Port to Door,"40.735657,-74.1723667","13.1040552,100.9158073",THLCH - USNYC,66.0
652,coloaded_lcl,3008656,FEWB,769.15,4.55,15.29,226.54,Port to Port,"53.5510846,9.9936819","22.356851,91.7831819",BDCGP - DEHAM,51.0
653,flxt_lcl,3013201,TPEB,"1,493.6",5.31,69.27,282.73,Port to Door,"40.735657,-74.1723667","22.6272784,120.3014353",TWKHH - USNYC,86.0
654,coloaded_lcl,3000846,FEWB,69.99,0.862,28.29,"1,498.24",Port to Door,"51.9244201,4.4777326","11.5563738,104.9282099",KHPNH - NLRTM,83.0
655,coloaded_lcl,3006246,TPEB,284.5,0.703,726.55,10.88,Door to Door,"40.735657,-74.1723667","13.0826802,80.2707184",INMAA - USNYC,61.0
656,coloaded_lcl,2985793,FEWB,201.1,0.93,,,Port to Door,"56.162939,10.203921","18.9499361,72.9511875",INNSA - DKAAR,
657,coloaded_lcl,2986089,TPEB,"1,481.56",16.49,170.47,"1,115.26",Port to Port,"40.735657,-74.1723667","20.8449115,106.6880841",VNHPH - USNYC,67.0
658,coloaded_lcl,2999264,TPEB,623.39,4.52,28.59,"1,132.56",Port to Door,"40.735657,-74.1723667","18.9499361,72.9511875",INNSA - USNYC,59.0
659,coloaded_lcl,3022324,TPEB,"1,827.24",10.63,2.69,83.92,Port to Door,"47.2528768,-122.4442906","10.8230989,106.6296638",VNSGN - USTIW,72.0
660,coloaded_lcl,3018621,ROW,364.95,1.6,9.36,53.40,Port to Door,"-37.8136276,144.9630576","22.6272784,120.3014353",TWKHH - AUMEL,28.0
661,flxt_lcl,3056536,TPEB,114.8,0.43,855.34,20.09,Port to Door,"34.0522342,-118.2436849","22.6272784,120.3014353",TWKHH - USLAX,42.0
662,coloaded_lcl,3021388,TPEB,187.34,1.65,93.85,24.76,Port to Door,"40.735657,-74.1723667","14.5995124,120.9842195",PHMNL - USNYC,71.0
663,coloaded_lcl,2996278,TPEB,"4,956",7.708,191.42,17.65,Port to Door,"34.0522342,-118.2436849","18.9499361,72.9511875",INNSA - USLAX,70.0
664,coloaded_lcl,3045889,TAWB,11.5,1.0,466.16,43.28,Port to Door,"40.735657,-74.1723667","44.4056499,8.946256",ITGOA - USNYC,62.0
665,coloaded_lcl,3002569,TPEB,"2,374.05",16.03,64.34,295.83,Port to Door,"40.735657,-74.1723667","22.6272784,120.3014353",TWKHH - USNYC,86.0
666,coloaded_lcl,3017095,TPEB,"5,052.06",4.26,10.12,25.64,Port to Door,"40.735657,-74.1723667","22.6272784,120.3014353",TWKHH - USNYC,85.0
